taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
39496,D015212,1.6282758678320023e-06,0.6011466666666667,0.10114666666666672,0.004573890775524153,0.006903242271305496,increased,500,300
40518,D015212,0.0010852587884898938,0.4310733333333333,0.06892666666666669,0.00469269194061051,0.00332508248073486,decreased,500,300
40519,D015212,1.7159812683741577e-47,0.19462666666666667,0.30537333333333333,0.004423218361692113,0.0010491042451521077,decreased,500,300
40520,D015212,4.111458131965861e-05,0.41348666666666667,0.08651333333333333,0.004748398890762275,0.0036015476556214635,decreased,500,300
40545,D015212,0.0007401560585686665,0.57118,0.07118000000000002,0.0044455688315050155,0.006762888485101537,increased,500,300
45851,D015212,0.006774150171424301,0.44288,0.057120000000000004,0.004643920301249004,0.003900524056659905,decreased,500,300
46228,D015212,9.697215408762381e-48,0.1938,0.3062,0.004315235710242794,0.0010666006928045039,decreased,500,300
46503,D015212,3.3030040802632057e-06,0.4018866666666666,0.09811333333333339,0.004467274493597998,0.0033170246659017535,decreased,500,300
46506,D015212,3.154437498126434e-06,0.5983133333333333,0.09831333333333325,0.004650099007240515,0.007149636398424916,increased,500,300
47678,D015212,0.02560689609652201,0.4529133333333334,0.04708666666666661,0.004788349079757057,0.00399998581766794,decreased,500,300
47770,D015212,1.230121527150115e-45,0.20088666666666666,0.29911333333333334,0.0045845774494511745,0.0011754835340879162,decreased,500,300
48296,D015212,1.3180102753142603e-23,0.7112533333333333,0.2112533333333333,0.00420030855330243,0.011170239945224071,increased,500,300
51664,D015212,1.2392695035374795e-08,0.62012,0.12012,0.004812796392820438,0.008175034508061728,increased,500,300
52226,D015212,0.0012468792463056196,0.43190666666666666,0.06809333333333334,0.004921602928412309,0.003821537615729403,decreased,500,300
53345,D015212,5.950048937097234e-46,0.19981333333333334,0.30018666666666666,0.00440588281277979,0.0011240715146314403,decreased,500,300
54291,D015212,5.943247557259592e-06,0.40447333333333335,0.09552666666666665,0.005157074385125418,0.0035425647160945367,decreased,500,300
55206,D015212,7.409964393852306e-07,0.6044266666666667,0.10442666666666667,0.00507777279020803,0.007636462970994297,increased,500,300
74426,D015212,0.0027642447351932968,0.4368666666666667,0.06313333333333332,0.004806586550908392,0.0035976636199890333,decreased,500,300
78345,D015212,4.5758724375592776e-51,0.18291333333333334,0.31708666666666663,0.004552659183819909,0.0010614045442284815,decreased,500,300
83771,D015212,0.13323662590634994,0.4683266666666667,0.031673333333333276,0.004292863211979711,0.003868533015658951,decreased,500,300
84980,D015212,1.1651505616627848e-07,0.61178,0.11177999999999999,0.004659501079105193,0.007226600534697439,increased,500,300
88431,D015212,0.13603634502180237,0.4685533333333333,0.03144666666666668,0.004448688975738017,0.003937863437201617,decreased,500,300
89014,D015212,4.820235685354913e-54,0.1734733333333333,0.3265266666666667,0.004545576724427493,0.001076574105839466,decreased,500,300
89524,D015212,9.238009691055722e-20,0.6919133333333334,0.19191333333333338,0.004523113951609485,0.009963079376597288,increased,500,300
93220,D015212,1.470494949237329e-07,0.61088,0.11087999999999998,0.004457976029203548,0.0075204412836379015,increased,500,300
