run_id,relative_abundance,phenotype,ncbi_taxon_id
SRR5396556,0.181076,D015212,89014
SRR5396561,0.0634741,D015212,89014
SRR5396504,0.0351648,D015212,89014
ERR1090785,0.0164252,D015212,89014
ERR1090791,0.0417781,D015212,89014
ERR1090794,0.0182765,D015212,89014
ERR1090854,0.336936,D015212,89014
ERR1090866,0.020658,D015212,89014
ERR1090891,0.0170923,D015212,89014
ERR1090916,0.0291681,D015212,89014
ERR1090989,0.0708821,D015212,89014
ERR1091008,0.0855179,D015212,89014
ERR1091024,0.153968,D015212,89014
ERR1091058,0.0328549,D015212,89014
ERR1091067,0.120582,D015212,89014
ERR1091076,0.0142793,D015212,89014
ERR1091079,0.0182072,D015212,89014
ERR1091106,0.0315566,D015212,89014
ERR1091125,0.143924,D015212,89014
ERR1091194,0.0205671,D015212,89014
ERR1091273,0.071814,D015212,89014
ERR1091288,0.0577085,D015212,89014
ERR1091310,0.0156022,D015212,89014
ERR1091318,0.0562004,D015212,89014
ERR1091328,0.322394,D015212,89014
ERR1091342,0.00657505,D015212,89014
ERR1091418,0.00229024,D015212,89014
ERR1091433,0.0188882,D015212,89014
ERR1091445,0.032375,D015212,89014
ERR1091464,0.0151155,D015212,89014
ERR1091489,0.01756,D015212,89014
ERR1091493,0.11855,D015212,89014
ERR1091500,0.48276,D015212,89014
ERR1091574,0.100424,D015212,89014
ERR1091575,0.037496,D015212,89014
ERR1091614,0.011436,D015212,89014
ERR1091661,0.0303208,D015212,89014
ERR1091671,0.0376294,D015212,89014
ERR1091679,0.446646,D015212,89014
ERR1091703,0.0251351,D015212,89014
ERR1091803,0.0868322,D015212,89014
ERR1091808,0.029522,D015212,89014
ERR1091816,0.0616843,D015212,89014
ERR695620,0.0581,D015212,301301
ERR695627,0.22798,D015212,301301
ERR695626,0.24953,D015212,301301
ERR695621,0.05204,D015212,301301
ERR695632,5.1245,D015212,301301
ERR695635,0.3025,D015212,301301
ERR695634,0.32494,D015212,301301
ERR695633,5.12856,D015212,301301
ERR695624,0.34904,D015212,301301
ERR695625,0.31481,D015212,301301
ERR695636,0.00651,D015212,301301
ERR695630,0.00152,D015212,301301
ERR695637,0.00724,D015212,301301
SRR3400417,0.0886497,D015212,301301
SRR3400418,0.099095,D015212,301301
SRR3400419,0.0343743,D015212,301301
SRR3400420,0.0505954,D015212,301301
SRR3400421,0.0307678,D015212,301301
SRR3400422,0.0586826,D015212,301301
SRR3400423,0.146102,D015212,301301
SRR3400424,0.189874,D015212,301301
SRR3400425,0.0908786,D015212,301301
SRR3400426,0.121009,D015212,301301
SRR3400428,0.03624,D015212,301301
SRR3400429,0.0313698,D015212,301301
SRR3400430,0.0251265,D015212,301301
SRR3400431,0.0501019,D015212,301301
SRR3400432,0.0417417,D015212,301301
SRR3400433,0.0959672,D015212,301301
